Nama Pelanggan,Jenis Kelamin,Umur,Profesi,Tipe Residen,NilaiBelanjaSetahun
Budi Anggara,Pria,58,Wiraswasta,Sector,9497927
Shirley Ratuwati,Wanita,14,Pelajar,Cluster,2722700
Agus Cahyono,Pria,48,Professional,Cluster,5286429
Antonius Winarta,Pria,53,Professional,Cluster,5204498
"Ibu Sri Wahyuni, IR",Wanita,41,Wiraswasta,Cluster,10615206
Rosalina Kurnia,Wanita,24,Professional,Cluster,5215541
"Cahyono, Agus",Pria,64,Wiraswasta,Sector,9837260
Danang Santosa,Pria,52,Professional,Cluster,5223569
Elisabeth Suryadinata,Wanita,29,Professional,Sector,5993218
Mario Setiawan,Pria,33,Professional,Cluster,5257448
Maria Suryawan,Wanita,50,Professional,Sector,5987367
Erliana Widjaja,Wanita,49,Professional,Sector,5941914
Cahaya Putri,Wanita,64,Wiraswasta,Cluster,9333168
Mario Setiawan,Pria,60,Wiraswasta,Cluster,9471615
Shirley Ratuwati,Wanita,20,Wiraswasta,Cluster,10365668
Bambang Rudi,Pria,35,Professional,Cluster,5262521
Yuni Sari,Wanita,32,Ibu Rumah Tangga,Cluster,5677762
Nelly Halim,Wanita,63,Ibu Rumah Tangga,Cluster,5340690
Mega Pranoto,Wanita,32,Wiraswasta,Cluster,10884508
Irene Novianto,Wanita,16,Pelajar,Sector,2896845
Lestari Fabianto,Wanita,38,Wiraswasta,Cluster,9222070
Novita Purba,Wanita,52,Professional,Cluster,5298157
Denny Amiruddin,Pria,34,Professional,Cluster,5239290
Putri Ginting,Wanita,39,Wiraswasta,Cluster,10259572
Julia Setiawan,Wanita,29,Wiraswasta,Sector,10721998
Christine Winarto,Wanita,55,Professional,Cluster,5269392
Grace Mulyati,Wanita,35,Wiraswasta,Cluster,9114159
Adeline Huang,Wanita,40,Ibu Rumah Tangga,Cluster,6631680
Tia Hartanti,Wanita,56,Professional,Cluster,5271845
Rosita Saragih,Wanita,46,Ibu Rumah Tangga,Sector,5020976
Eviana Handry,Wanita,19,Mahasiswa,Cluster,3042773
Chintya Winarni,Wanita,47,Wiraswasta,Sector,10663179
Cecilia Kusnadi,Wanita,19,Mahasiswa,Cluster,3047926
Deasy Arisandi,Wanita,21,Wiraswasta,Sector,9759822
Ida Ayu,Wanita,39,Professional,Sector,5962575
Ni Made Suasti,Wanita,30,Wiraswasta,Cluster,9678994
Felicia Tandiono,Wanita,25,Professional,Sector,5972787
Agatha Salim,Wanita,46,Wiraswasta,Sector,10477127
Gina Hidayat,Wanita,20,Professional,Cluster,5257775
Irene Darmawan,Wanita,14,Pelajar,Sector,2861855
Shinta Aritonang,Wanita,24,Ibu Rumah Tangga,Cluster,6820976
Yuliana Wati,Wanita,26,Wiraswasta,Cluster,9880607
Yenna Sumadi,Wanita,31,Professional,Cluster,5268410
Anna,Wanita,18,Wiraswasta,Cluster,9339737
Rismawati Juni,Wanita,22,Professional,Cluster,5211041
Elfira Surya,Wanita,25,Wiraswasta,Sector,10099807
Mira Kurnia,Wanita,55,Ibu Rumah Tangga,Cluster,6130724
Maria Hutagalung,Wanita,45,Wiraswasta,Sector,10390732
Josephine Wahab,Wanita,33,Ibu Rumah Tangga,Sector,4992585
Lianna Nugraha,Wanita,55,Wiraswasta,Sector,10569316
